"","qual_new_grouping","n_obs","min","Q1","median","Q3","max","mean","sd"
"1","None",688,1.4816326997718,834.537521362305,1128.88997395833,1478.96432662796,8460.59349798387,1257.6080587401,791.9014217732
"2","GCSE or equivalent",3253,0,970.22802734375,1318.61432756696,1732.86667596726,29234.1480654762,1455.05037477632,983.981012383055
"3","A level or equivalent",2849,-1375.33778211806,1091.51109483507,1485.26109483507,1950.97826086957,20400.515625,1615.86475376,939.305229457407
"4","Degree",4958,-1375.33778211806,1319.94125057329,1781.60296057025,2383.99836684718,34766.6775173611,2007.93656953107,1388.59046478189
